file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Main.java,com.Main,main/1[java.lang.String[]],false,4,4,10,0,10,2,7,17,0,7,1,7,0,0,0,1,0,0,14,0,7,2,1,0,0,0,14,9,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\LibraryReport.java,com.LibraryReport,generateBorrowingReport/0,false,11,3,6,1,5,3,9,11,0,0,0,9,0,0,2,0,0,0,5,0,0,3,2,0,0,0,18,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\LibraryReport.java,com.LibraryReport,LibraryReport/1[com.Library],true,7,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\LibraryReport.java,com.LibraryReport,generateBookInventoryReport/0,false,23,2,4,0,4,4,5,17,0,2,0,5,0,0,1,0,0,2,10,2,2,5,2,0,0,0,20,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,getTitle/0,false,19,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,"Book/3[java.lang.String,java.lang.String,java.lang.String]",true,8,0,1,1,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,getAuthor/0,false,23,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,setAvailable/1[boolean],false,31,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,isAvailable/0,false,27,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,getId/0,false,15,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,addBook/1[com.Book],false,16,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,"returnBook/2[java.lang.String,java.lang.String]",false,36,3,4,0,4,4,5,10,2,2,2,5,1,1,0,2,0,0,0,0,2,0,1,0,0,0,11,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,findBookById/1[java.lang.String],false,48,1,4,3,1,3,2,8,2,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,registerMember/1[com.Member],false,20,1,2,1,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,getAllBooks/0,false,57,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,"borrowBook/2[java.lang.String,java.lang.String]",false,24,3,5,1,4,4,5,10,2,2,2,5,1,1,0,2,0,0,0,0,2,0,1,0,0,0,11,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,Library/0,true,11,2,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,getAllMembers/0,false,61,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,getId/0,false,18,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,getEmail/0,false,26,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,getBorrowedBooks/0,false,30,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,borrowBook/1[com.Book],false,34,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,getName/0,false,22,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,returnBook/1[com.Book],false,38,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,"Member/3[java.lang.String,java.lang.String,java.lang.String]",true,11,1,1,1,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1,0,false
